,FEDFUNDS,TB3MS,T5YIE,UNRATE,CPIAUCSL_YOY,PCEPI_YOY,INDPRO_YOY,PAYEMS_YOY,NFCI,STLFSI4,SPREAD_2s10s,SPREAD_3m10y,SPREAD_5s30s,beta1,beta2,beta3,beta1_L1,beta1_L2,beta1_L3,beta2_L1,beta2_L2,beta2_L3,beta3_L1,beta3_L2,beta3_L3,beta1_t1,beta2_t1,beta3_t1
2006-02-28,4.49,4.43,2.68,4.8,3.5736319296131747,2.9774656317369974,1.6409973682133483,2.007776810494377,-0.63526,-1.1166,0.0999999999999996,-0.1400000000000005,0.0,4.5844331675890215,0.1621866690947929,-0.2783318299530133,4.666377033470081,4.776730747027737,4.824843510310644,-0.11422105420485507,-0.41855335829111673,-0.49982408415546015,-0.8617343347446176,-0.34292083877037316,3.629332695658961e-05,4.730441274956215,0.16301727881315925,-0.23398802257316967
2006-03-31,4.59,4.51,2.58,4.7,3.3608050987300686,2.8720307841810566,2.008836410646797,2.142822378945475,-0.63035,-1.0434,0.0100000000000006,-0.2099999999999999,-0.0100000000000006,4.730441274956215,0.16301727881315925,-0.23398802257316967,4.5844331675890215,4.666377033470081,4.776730747027737,0.1621866690947929,-0.11422105420485507,-0.41855335829111673,-0.2783318299530133,-0.8617343347446176,-0.34292083877037316,5.105699280558067,-0.14023802276088881,-0.5084494966384405
2006-04-30,4.79,4.6,2.67,4.7,3.550068538934159,3.055662562827166,2.097074913754149,1.9939339330846904,-0.62126,-1.0972,-0.1000000000000005,-0.3900000000000005,-0.1599999999999992,5.105699280558067,-0.14023802276088881,-0.5084494966384405,4.730441274956215,4.5844331675890215,4.666377033470081,0.16301727881315925,0.1621866690947929,-0.11422105420485507,-0.23398802257316967,-0.2783318299530133,-0.8617343347446176,5.253539567292304,-0.1392371472777459,-0.7387249267422665
2006-05-31,4.94,4.72,2.68,4.6,3.90021578032691,3.2675637555492187,2.028698385477501,1.896788709084696,-0.58385,-0.7939,-0.1400000000000005,-0.3900000000000005,-0.2000000000000001,5.253539567292304,-0.1392371472777459,-0.7387249267422665,5.105699280558067,4.730441274956215,4.5844331675890215,-0.14023802276088881,0.16301727881315925,0.1621866690947929,-0.5084494966384405,-0.23398802257316967,-0.2783318299530133,5.178612644101722,0.07687360721407849,-0.4492325056148208
2006-06-30,4.99,4.79,2.63,4.6,4.096653750655843,3.45137673342002,1.9283112591125475,1.767089291560353,-0.53009,-0.8574,0.0099999999999997,-0.3200000000000003,-0.08,5.178612644101722,0.07687360721407849,-0.4492325056148208,5.253539567292304,5.105699280558067,4.730441274956215,-0.1392371472777459,-0.14023802276088881,0.16301727881315925,-0.7387249267422665,-0.5084494966384405,-0.23398802257316967,5.1597977749677995,0.2814275014285997,-0.75234336864887
2006-07-31,5.24,4.95,2.54,4.7,4.022664031825407,3.369920568040552,2.181126917620801,1.6460942743076856,-0.56042,-0.9359,0.0300000000000002,-0.1399999999999996,-0.0899999999999998,5.1597977749677995,0.2814275014285997,-0.75234336864887,5.178612644101722,5.253539567292304,5.105699280558067,0.07687360721407849,-0.1392371472777459,-0.14023802276088881,-0.4492325056148208,-0.7387249267422665,-0.5084494966384405,5.052866190131714,0.3850334485088668,-1.354817749331567
2006-08-31,5.25,4.96,2.44,4.7,3.851438758632408,3.281449273081538,2.285675993069791,1.6151031770244018,-0.60524,-0.9843,0.0200000000000004,0.08,-0.1799999999999997,5.052866190131714,0.3850334485088668,-1.354817749331567,5.1597977749677995,5.178612644101722,5.253539567292304,0.2814275014285997,0.07687360721407849,-0.1392371472777459,-0.75234336864887,-0.4492325056148208,-0.7387249267422665,4.906208756284941,0.43995540767651614,-1.4400943237427781
2006-09-30,5.25,4.81,2.25,4.5,1.992097749455457,2.0586897442020025,4.060382646095739,1.6766365569793606,-0.60739,-0.8073,0.0499999999999998,0.0899999999999998,-0.1799999999999997,4.906208756284941,0.43995540767651614,-1.4400943237427781,5.052866190131714,5.1597977749677995,5.178612644101722,0.3850334485088668,0.2814275014285997,0.07687360721407849,-1.354817749331567,-0.75234336864887,-0.4492325056148208,4.89961563033418,0.5076890638131144,-1.429906495901755
2006-10-31,5.25,4.92,2.1,4.4,1.3965314248641114,1.6630642749085212,2.7428035055093503,1.6229374702325217,-0.63003,-1.0071,0.0699999999999994,0.1899999999999995,-0.1599999999999992,4.89961563033418,0.5076890638131144,-1.429906495901755,4.906208756284941,5.052866190131714,5.1597977749677995,0.43995540767651614,0.3850334485088668,0.2814275014285997,-1.4400943237427781,-1.354817749331567,-0.75234336864887,4.722315251728121,0.8352615158004555,-1.55844309588621
2006-11-30,5.25,4.94,2.24,4.5,1.9495743696699817,1.906385551367329,1.6223316489152315,1.515871120218648,-0.62993,-0.9288,0.1400000000000005,0.3400000000000007,-0.1100000000000003,4.722315251728121,0.8352615158004555,-1.55844309588621,4.89961563033418,4.906208756284941,5.052866190131714,0.5076890638131144,0.43995540767651614,0.3850334485088668,-1.429906495901755,-1.4400943237427781,-1.354817749331567,4.722640901074537,0.7531127841112253,-1.6754918994944685
